Year,Site,Transect,Code,Species,Common name,Family,Length cm,a,b,Biomass
2017,Calabas,1,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,31,0.0309,2.95,775.31
2017,Calabas,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,30,0.0309,2.95,703.83
2017,Barcadera,2,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,30,0.0309,2.95,703.83
2015,Barcadera,3,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,29,0.0309,2.95,636.84
2017,Windsock,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,29,0.0309,2.95,636.84
2017,No Dive Reserve,2,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,29,0.0309,2.95,636.84
2015,Windsock,5,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,28,0.0309,2.95,574.22
2015,18th Palm,1,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,28,0.0309,2.95,574.22
2017,18th Palm,6,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,28,0.0309,2.95,574.22
2015,Karpata,1,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,27,0.0309,2.95,515.80
2017,18th Palm,6,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,27,0.0309,2.95,515.80
2017,18th Palm,7,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,27,0.0309,2.95,515.80
2015,Reef Scientifico,1,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,26,0.0309,2.95,461.46
2017,Bachelor's Beach,2,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,26,0.0309,2.95,461.46
2017,18th Palm,4,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,26,0.0309,2.95,461.46
2017,Calabas,2,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,26,0.0309,2.95,461.46
2017,Calabas,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,26,0.0309,2.95,461.46
2017,Calabas,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,26,0.0309,2.95,461.46
2017,Reef Scientifico,6,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,26,0.0309,2.95,461.46
2015,Bachelor's Beach,5,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2015,Front Porch,2,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2015,Karpata,3,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2015,No Dive Reserve,4,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2017,Calabas,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2017,Forest,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2017,Forest,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2017,Barcadera,7,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,25,0.0309,2.95,411.04
2015,Windsock,1,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,24,0.0309,2.95,364.40
2015,Reef Scientifico,1,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,24,0.0309,2.95,364.40
2017,Calabas,3,NA,Lutjanus cyanopterus,Cubera Snapper,Lutjanidae,60,0.0151,3.0601,4171.55
2017,Reef Scientifico,7,NA,Lutjanus cyanopterus,Cubera Snapper,Lutjanidae,60,0.0151,3.0601,4171.55
2017,Windsock,2,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,23,0.0309,2.95,321.41
2017,Windsock,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,23,0.0309,2.95,321.41
2017,Barcadera,3,NA,Diodon hystrix,Porcupinefish,Diodontidae,45,0.06607,2.84,3274.37
2015,Bachelor's Beach,4,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,22,0.0309,2.95,281.91
2015,Front Porch,2,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,22,0.0309,2.95,281.91
2017,Bachelor's Beach,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,22,0.0309,2.95,281.91
2017,Windsock,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,22,0.0309,2.95,281.91
2017,18th Palm,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,22,0.0309,2.95,281.91
2017,Karpata,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,22,0.0309,2.95,281.91
2015,Karpata,2,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,21,0.0309,2.95,245.76
2017,18th Palm,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,21,0.0309,2.95,245.76
2017,Reef Scientifico,2,NA,Megalops atlanticus,Tarpon,Megalopidae,70,0.00794,2.98,2501.57
2017,Reef Scientifico,4,NA,Megalops atlanticus,Tarpon,Megalopidae,70,0.00794,2.98,2501.57
2015,Calabas,3,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,20,0.0309,2.95,212.81
2017,Bachelor's Beach,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,20,0.0309,2.95,212.81
