Date,Site,Transect,Code,Species,length (cm),Phase,a,b,Biomass,Family
2011,Bachelor's Beach,1,ocs,Acanthurus bahianus,17,,-4.6005,2.9752,108.5254589,Acanthuridae
2011,Bachelor's Beach,1,ytd,Microspathodon chrysurus,18,,-4.7033,3.0825,177.2464301,Pomacentridae
2011,Bachelor's Beach,1,prp,Scarus taeniopterus,25,t,-3.2257,2.3852,311.7931062,Scaridae
2011,Bachelor's Beach,1,prp,Scarus taeniopterus,30,t,-3.2257,2.3852,481.6478397,Scaridae
2011,Bachelor's Beach,1,qup,Scarus vetula,22,i,-5.0162,3.1109,186.5703893,Scaridae
2011,Bachelor's Beach,1,qup,Scarus vetula,30,i,-5.0162,3.1109,489.6395739,Scaridae
2011,Bachelor's Beach,1,qup,Scarus vetula,33,t,-5.0162,3.1109,658.6353186,Scaridae
2011,Bachelor's Beach,1,rdp,Sparisoma aurofrenatum,19,i,-4.0781,2.7438,149.3977753,Scaridae
2011,Bachelor's Beach,1,stop,Sparisoma viride,26,i,-4.4317,2.9051,383.7417689,Scaridae
2011,Bachelor's Beach,1,stop,Sparisoma viride,26,i,-4.4317,2.9051,383.7417689,Scaridae
2011,Bachelor's Beach,2,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Bachelor's Beach,2,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Bachelor's Beach,2,ytd,Microspathodon chrysurus,18,,-4.7033,3.0825,177.2464301,Pomacentridae
2011,Bachelor's Beach,2,strp,Scarus iseri,12,i,-4.8887,3.0548,29.02571124,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,15,i,-4.8887,3.0548,57.38832884,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
