Diver,Date,Site,Management,Dive number,Transect number,Species Code,Common name,Species,Functional Feeding Group,Family,Length (cm),Number,Phase,a,b,weight (g),num x weight (g)
REB,3/5/17,Calabas,FPA,1,1,OcS,Ocean Surgeonfish,Acanthurus bahianus,Herbivores,Acanthuridae,17,1,,0.01862,2.91,70.89017327,70.89017327
REB,3/5/17,Calabas,FPA,1,1,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,19,1,T,0.01096,3.01,77.42102076,77.42102076
REB,3/5/17,Calabas,FPA,1,1,FrG,French Grunt,Haemulon flavolineatum,Carnivores,Haemulidae,12,1,,0.01349,3,23.31072,23.31072
REB,3/5/17,Calabas,FPA,1,1,GtF,Goatfish,Mulloidichthys martinicus,Carnivores,Mullidae,18,2,,0.00977,3.12,80.60180725,161.2036145
REB,3/5/17,Calabas,FPA,1,1,BlT,Blue Tang,Acanthurus coeruleus,Herbivores,Acanthuridae,19,1,,0.02512,2.96,153.1546876,153.1546876
REB,3/5/17,Calabas,FPA,1,1,BdB,Banded Butterflyfish,Chaetodan striatus,Carnivores,Chaetodontidae,12,1,,0.02239,3.03,41.68437259,41.68437259
REB,3/5/17,Calabas,FPA,1,1,BlC,Blue Chromis,Chromis cyanea,Planktivore,Pomacentridae,8,2,,0.01479,2.98,7.264008358,14.52801672
REB,3/5/17,Calabas,FPA,1,1,YtS,Yellowtail Snapper,Ocyurus chrysurus,Carnivores,Lutjanidae,20,1,,0.01479,2.95,101.8607011,101.8607011
REB,3/5/17,Calabas,FPA,1,1,hcc,Honeycomb Cowfish,Acanthostracion polygonia,Omnivores,Ostraciidae,24,1,,0.02818,2.83,226.9545024,226.9545024
REB,3/5/17,Calabas,FPA,1,1,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,3,7,,0.01479,2.98,0.390651515,2.734560606
REB,3/5/17,Calabas,FPA,1,1,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,23,1,T,0.0335,2.7086,163.4635113,163.4635113
REB,3/5/17,Calabas,FPA,1,1,SqF,Squirrel Fish,Holocentrus adsensionis,Carnivores,Holocentridae,16,5,,0.01585,2.97,59.74005458,298.7002729
REB,3/5/17,Calabas,FPA,1,1,SqF,Squirrel Fish,Holocentrus adsensionis,Carnivores,Holocentridae,12,5,,0.01585,2.97,25.42128897,127.1064448
REB,3/5/17,Calabas,FPA,1,1,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,13,50,,0.01479,2.98,30.86877277,1543.438639
