"","year","site","management","n","bm_s","bm_se","den_s","den_se","l_s","l_se"
"1","2015","Bachelor's Beach","Control",5,1726.88333333333,287.156934106693,27.1666666666667,4.12142100629275,13.545672892813,0.923482577096935
"2","2015","Windsock","Control",5,1476.57333333333,360.078266939595,23.8333333333333,3.86939558874797,13.0803096179183,0.808666942358219
"3","2015","18th Palm","FPA",5,1756.08666666667,415.231937383929,33,6.68019460794369,12.8894158249158,0.714187839038949
"4","2015","Calabas","FPA",5,2194.71666666667,562.824670023889,25.3333333333333,5.8011014279857,14.2797294372294,1.14294469751037
"5","2015","Front Porch","FPA",5,2950.39333333333,487.515444950494,46.3333333333333,7.28201742498449,13.0970213877515,0.940626649464102
"6","2015","Forest","Control",5,3254.68333333333,552.997130800523,28.6666666666667,3.98434436262731,16.9751467041143,1.32612916732685
"7","2015","Reef Scientifico","FPA",5,3530.47833333333,1253.7940668189,46.3333333333333,16.1945635596915,14.5979951362012,0.912673451397679
"8","2015","Barcadera","Control",5,1888.88666666667,703.015399757241,28.6666666666667,9.62707409110138,13.878524164008,1.13780464309276
"9","2015","Oil Slick Leap","Control",5,1131.70166666667,373.063466007387,23.5,7.33806665425044,11.9068544000198,0.55813277371572
"10","2015","Karpata","Control",5,1476.54333333333,212.514096303699,22.5,3.97037641652386,12.9690671692018,0.56231326148312
"11","2015","No Dive Reserve","Control",5,2701.625,492.236971048159,24.5,1.79891942874357,15.5660751100751,1.19821555669413
"12","2017","Bachelor's Beach","Control",7,4197.425,1122.44802223048,43.0952380952381,6.37173582195085,15.9305998252184,0.73274411965217
"13","2017","Windsock","Control",7,2809.55714285714,622.869063412882,37.5,8.11825625710871,14.8277106860782,0.804071296657195
"14","2017","18th Palm","FPA",7,2832.4119047619,364.309687621532,28.8095238095238,3.32765957035502,14.3651233561948,0.670581196928431
"15","2017","Calabas","FPA",5,8217.875,835.400390186413,51.8333333333333,5.02355562436718,16.5219142547726,1.78320888698562
"16","2017","Front Porch","FPA",4,5339.01875,2093.09032446802,49.5833333333333,23.0977692525587,16.5038655926716,0.965834911115421
"17","2017","Forest","Control",7,1829.61904761905,331.213859247945,18.8095238095238,0.476190476190476,15.118345567476,1.05304902602436
"18","2017","Reef Scientifico","FPA",7,4136.44761904762,774.453321544326,22.8571428571429,2.17350221232209,17.9157463630614,0.814258816504133
"19","2017","Barcadera","Control",7,3841.67976190476,1121.0664514342,26.9047619047619,3.79585842652956,16.2486770481844,1.07709338782013
"20","2017","Oil Slick Leap","Control",7,2650.41547619048,502.287052806881,27.6190476190476,6.17863641890155,16.2151638573067,0.492890235940361
"21","2017","Karpata","Control",7,1293.20833333333,391.769090943104,22.6190476190476,4.01892255127752,11.4012677834517,0.78256432653174
"22","2017","No Dive Reserve","Control",6,4188.95972222222,799.321693845431,34.1666666666667,7.28710174567721,16.2175989551939,0.74569014607225
"23","2019","Bachelor's Beach","Control",10,1492.415,203.5419175623,24.5833333333333,4.05641162958618,12.5145680741631,1.03789347053181
"24","2019","Windsock","Control",9,2733.68611111111,364.683510483113,38.8888888888889,5.45039357509683,14.7461586068372,0.598785390800013
"25","2019","18th Palm","FPA",9,2346.81296296296,566.161807645621,29.6296296296296,4.01365125957282,14.0377018642845,1.87163210701772
"26","2019","Calabas","FPA",6,3363.56388888889,894.702833030969,28.6111111111111,3.84097467054302,15.7252580739507,1.68311163320749
"27","2019","Front Porch","FPA",10,3570.78083333333,555.149261257519,40.75,8.44046872784202,16.196071704387,1.13768133381479
"28","2019","Forest","Control",4,1836.55833333333,780.615581586275,30.2083333333333,3.54166666666667,11.8584740990991,2.27057717260214
"29","2019","Reef Scientifico","FPA",8,3747.82708333333,706.554306660704,47.1875,8.18004477007774,13.6956628095909,1.28003064138712
"30","2019","Barcadera","Control",4,2354.42916666667,674.119824293714,37.5,4.90653381462658,10.5354765164641,1.48843968003893
"31","2019","Oil Slick Leap","Control",11,1077.85303030303,224.547485389591,18.2575757575758,2.2765120001995,12.0169789909006,1.16092206370327
"32","2019","Karpata","Control",12,1643.20625,327.528185148439,25.9027777777778,3.99317907143178,10.7809788566767,1.12661874706519
"33","2019","No Dive Reserve","Control",10,4416.38333333333,835.958354218471,34.25,2.62481627810922,15.8009511525677,1.0601925947595
"34","2015","Bonaire Average",NA,11,2189.87015151515,241.243623362784,29.9848484848485,2.59841196116523,13.889619258568,0.42816480896443
"35","2017","Bonaire Average",NA,11,3757.87434163059,569.657012881624,33.0725108225108,3.36944357521522,15.5696375717827,0.507149493827225
"36","2019","Bonaire Average",NA,11,2598.50145393327,320.885564957917,32.3426499846954,2.50463393734332,13.4462073408111,0.613558553389915
